,prompt,class,environment,weather,amount
234,Three tugboats at a cliffside coast during rainy weather.,tugboat,cliffside coast,rainy,Three
235,"

A tugboat anchored at the cliffside coast, rain pouring down, waves crashing against the rocks.",tugboat,cliffside coast,rainy,Multiple
236,"

A single tugboat anchored at the cliffside coast amidst stormy weather.",tugboat,cliffside coast,stormy,Single
237,Two tugboats at a cliffside coast during a storm.,tugboat,cliffside coast,stormy,Two
238,Three tugboats at the cliffside coast during a storm.,tugboat,cliffside coast,stormy,Three
239,"

A tugboat anchored at the cliffside coast amidst stormy weather.",tugboat,cliffside coast,stormy,Multiple
240,"

A single tugboat nestled against the cliffside coast, its red hull standing out against the backdrop of swirling snow. The boat's ropes were taut against the icy boulders, the snow p",tugboat,cliffside coast,snowy,Single
241,Two tugboats at a cliffside coast in a snowy weather.,tugboat,cliffside coast,snowy,Two
242,Three tugboats nestled in the cliffside coast during a snowy weather.,tugboat,cliffside coast,snowy,Three
243,"

A tugboat anchored in a cliffside coast, surrounded by snow-covered rocks. The water is frozen, creating a stunning winter scene.",tugboat,cliffside coast,snowy,Multiple
244,"

A single tugboat anchored at a cliffside coast, shrouded in fog.",tugboat,cliffside coast,foggy,Single
245,Two tugboats at a cliffside coast in foggy weather.,tugboat,cliffside coast,foggy,Two
246,Three tugboats at the cliffside coast in the foggy weather.,tugboat,cliffside coast,foggy,Three
247,"

A tugboat anchored at the cliffside coast, shrouded in fog.",tugboat,cliffside coast,foggy,Multiple
248,"

A single tugboat anchored at the cliffside coast, battling against the windy weather.",tugboat,cliffside coast,windy,Single
249,Two tugboats at a cliffside coast during a windy day.,tugboat,cliffside coast,windy,Two
250,Three tugboats at the cliffside coast during a windy day.,tugboat,cliffside coast,windy,Three
251,"

A tugboat anchored at the cliffside coast, weathered by the wind.",tugboat,cliffside coast,windy,Multiple
252,"

A single tugboat anchored at a cliffside coast under clear skies.",tugboat,cliffside coast,clear,Single
253,Two tugboats at a cliffside coast with clear weather.,tugboat,cliffside coast,clear,Two
254,Three tugboats at the cliffside coast with clear weather.,tugboat,cliffside coast,clear,Three
255,"

A tugboat anchored at the cliffside coast with clear weather.",tugboat,cliffside coast,clear,Multiple
256,"

A single tugboat in the open sea under a sunny sky.",tugboat,open sea,sunny,Single
257,Two tugboats in the open sea under a sunny sky.,tugboat,open sea,sunny,Two
258,Three tugboats in the open sea under a sunny sky.,tugboat,open sea,sunny,Three
259,"

A sunny day on the open sea. A single tugboat anchored, its red and white stripes glistening in the sunlight. The water around it is calm and clear, with gentle waves lapping at the boat's",tugboat,open sea,sunny,Multiple
260,"

A single tugboat in the open sea under overcast skies.",tugboat,open sea,cloudy,Single
261,Two tugboats in the open sea under cloudy weather.,tugboat,open sea,cloudy,Two
262,Three tugboats in the open sea under cloudy weather.,tugboat,open sea,cloudy,Three
263,"

A tugboat in the open sea, surrounded by gray clouds.",tugboat,open sea,cloudy,Multiple
264,"

A single tugboat braves the open sea during a rainstorm.",tugboat,open sea,rainy,Single
265,Two tugboats in the open sea during rainy weather.,tugboat,open sea,rainy,Two
266,Three tugboats in the open sea during rainy weather.,tugboat,open sea,rainy,Three
267,"

A tugboat in the open sea during a rainstorm.",tugboat,open sea,rainy,Multiple
268,"

A lone tugboat braves the open sea during a storm, its powerful engine churning through the towering waves. Rain pelts against its weathered hull, illuminated by the occasional flash of lightning. The tug",tugboat,open sea,stormy,Single
269,Two tugboats in the open sea during a storm.,tugboat,open sea,stormy,Two
270,Three tugboats in the open sea during a storm.,tugboat,open sea,stormy,Three
271,"

A tugboat in the open sea during a storm. Dark waves crash against its sturdy hull, foam flying high into the air. Rain pelts down relentlessly, obscuring the view of the surrounding water. The tug",tugboat,open sea,stormy,Multiple
272,"

A single tugboat in the open sea, battling through snowy conditions.",tugboat,open sea,snowy,Single
273,Two tugboats in the open sea under snowy weather.,tugboat,open sea,snowy,Two
274,Three tugboats in the open sea under a snowy sky.,tugboat,open sea,snowy,Three
275,"

A tugboat plowing through the open sea, its red hull standing out against the white expanse of snow-covered waves.",tugboat,open sea,snowy,Multiple
276,"

A single tugboat in the open sea, battling through the dense fog.",tugboat,open sea,foggy,Single
277,Two tugboats in the open sea with foggy weather.,tugboat,open sea,foggy,Two
278,Three tugboats in the open sea with foggy weather.,tugboat,open sea,foggy,Three
279,"

A tugboat navigating through the dense fog of the open sea.",tugboat,open sea,foggy,Multiple
280,"

A single tugboat in the open sea, battling against the windy conditions.",tugboat,open sea,windy,Single
281,Two tugboats in the open sea under windy conditions.,tugboat,open sea,windy,Two
282,Three tugboats in the open sea under windy conditions.,tugboat,open sea,windy,Three
283,"

A tugboat in the open sea, battling against the windy conditions. Waves crashing against its sturdy hull, white foam forming at the crest. The tugboat's powerful engines churn the water,",tugboat,open sea,windy,Multiple
284,"

A single tugboat in the open sea under clear skies.",tugboat,open sea,clear,Single
285,Two tugboats in the open sea with clear weather.,tugboat,open sea,clear,Two
286,Three tugboats in the open sea with clear weather.,tugboat,open sea,clear,Three
287,"

A tugboat in the open sea under a clear sky.",tugboat,open sea,clear,Multiple
288,"

A single tugboat in the deep ocean under a sunny sky.",tugboat,deep ocean,sunny,Single
289,Two tugboats in the deep ocean under a sunny sky.,tugboat,deep ocean,sunny,Two
290,Three tugboats in the deep ocean under a sunny sky.,tugboat,deep ocean,sunny,Three
291,"

A tugboat anchored in the deep ocean under a sunny sky.",tugboat,deep ocean,sunny,Multiple
292,"

A single tugboat in the deep ocean, surrounded by churning waves, under a cloudy sky.",tugboat,deep ocean,cloudy,Single
293,Two tugboats in the deep ocean with a cloudy weather.,tugboat,deep ocean,cloudy,Two
294,Three tugboats in the deep ocean with a cloudy weather.,tugboat,deep ocean,cloudy,Three
295,"

A tugboat in the deep ocean, surrounded by thick, grey clouds.",tugboat,deep ocean,cloudy,Multiple
296,"

A single tugboat in the deep ocean during a rainy weather.",tugboat,deep ocean,rainy,Single
297,Two tugboats in the deep ocean during a rainy weather.,tugboat,deep ocean,rainy,Two
298,Three tugboats in the deep ocean during a rainy weather.,tugboat,deep ocean,rainy,Three
299,"

A tugboat in the deep ocean during a rainy weather.",tugboat,deep ocean,rainy,Multiple
300,"

A lone tugboat braves the stormy deep ocean, waves crashing against its sturdy hull as it battles the fierce winds and towering swells.",tugboat,deep ocean,stormy,Single
301,Two tugboats in the deep ocean during a storm.,tugboat,deep ocean,stormy,Two
302,Three tugboats in the deep ocean during a storm.,tugboat,deep ocean,stormy,Three
303,"

A tugboat in the deep ocean during a stormy weather.",tugboat,deep ocean,stormy,Multiple
304,"

A single tugboat in the deep ocean, battling through snowy weather.",tugboat,deep ocean,snowy,Single
305,Two tugboats in the deep ocean during a snowstorm.,tugboat,deep ocean,snowy,Two
306,"Three tugboats in the deep ocean, shrouded in snowy weather.",tugboat,deep ocean,snowy,Three
307,"

A tugboat in the deep ocean, shrouded in snowfall.",tugboat,deep ocean,snowy,Multiple
308,"

A single tugboat in the deep ocean, battling through the dense fog.",tugboat,deep ocean,foggy,Single
309,"Two tugboats in the deep ocean, shrouded in fog.",tugboat,deep ocean,foggy,Two
310,Three tugboats in the deep ocean shrouded in fog.,tugboat,deep ocean,foggy,Three
311,"

A tugboat navigating through the dense fog in the deep ocean.",tugboat,deep ocean,foggy,Multiple
312,"

A single tugboat in the deep ocean, battling against the windy weather.",tugboat,deep ocean,windy,Single
313,Two tugboats in the deep ocean during a windy weather.,tugboat,deep ocean,windy,Two
314,Three tugboats in the deep ocean during a windy weather.,tugboat,deep ocean,windy,Three
315,"

A tugboat in the deep ocean, weathered by windy conditions.",tugboat,deep ocean,windy,Multiple
316,"

A single tugboat in the deep ocean with clear weather.",tugboat,deep ocean,clear,Single
317,Two tugboats in the deep ocean with clear weather.,tugboat,deep ocean,clear,Two
318,Three tugboats in the deep ocean with clear waters.,tugboat,deep ocean,clear,Three
319,"

A tugboat anchored in the deep ocean, surrounded by calm, clear waters.",tugboat,deep ocean,clear,Multiple
320,"

A single tugboat in the calm, sun-kissed coastal waters.",tugboat,coastal waters,sunny,Single
321,Two tugboats in the coastal waters under a sunny sky.,tugboat,coastal waters,sunny,Two
322,Three tugboats in the coastal waters on a sunny day.,tugboat,coastal waters,sunny,Three
323,"

A sunny day on the coast. A tugboat anchored in the calm waters.",tugboat,coastal waters,sunny,Multiple
324,"

A single tugboat in the coastal waters under overcast skies.",tugboat,coastal waters,cloudy,Single
325,Two tugboats in the coastal waters under cloudy skies.,tugboat,coastal waters,cloudy,Two
326,Three tugboats in the coastal waters with a cloudy weather.,tugboat,coastal waters,cloudy,Three
327,"

A tugboat anchored in the coastal waters, surrounded by choppy waves. The sky is overcast with thick, grey clouds.",tugboat,coastal waters,cloudy,Multiple
328,"

A single tugboat in the coastal waters during rainy weather.",tugboat,coastal waters,rainy,Single
329,Two tugboats in the coastal waters during rainy weather.,tugboat,coastal waters,rainy,Two
330,Three tugboats in the coastal waters during rainy weather.,tugboat,coastal waters,rainy,Three
